employee_id,nama,tanggal_lahir,alamat,jabatan,department,tanggal_masuk
709389,Diana Hassanah,1988-08-15,"Jalan Sentot Alibasa No. 86, Lubuklinggau, JB 79768",Finance Staff,Finance,2022-09-16
722489,Mahfud Prastuti,1983-01-09,"Jalan H.J Maemunah No. 2, Banda Aceh, Bali 96680",Underwriting Manager,Underwriting,2023-07-06
514595,Dina Siregar,1989-08-29,"Gg. Rungkut Industri No. 13, Makassar, BE 03730",Underwriting Manager,Underwriting,2024-02-13
646363,Jagaraga Samosir,1967-08-23,"Gang KH Amin Jasuta No. 8, Cilegon, JK 92805",Finance Analyst,Finance,2021-01-22
808418,H. Jindra Wulandari,1969-07-08,"Gang Ronggowarsito No. 7, Probolinggo, Riau 71011",CS Supervisor,Customer Service,2025-02-24
271117,Martani Saputra,1966-03-25,"Jalan Moch. Ramdan No. 569, Magelang, PB 75378",Claims Officer,Claims,2021-01-13
484907,"Ganjaran Pertiwi, M.Kom.",1985-01-22,"Gang Gedebage Selatan No. 512, Solok, MA 47578",Finance Analyst,Finance,2024-09-04
793015,Yani Wahyuni,2001-03-18,"Gg. Sukajadi No. 6, Mojokerto, JT 74766",Finance Manager,Finance,2020-10-11
823666,Shania Situmorang,2002-12-19,"Jl. Merdeka No. 13, Tasikmalaya, MA 17919",Regional Sales Manager,Sales,2025-04-16
646394,Drajat Nugroho,1980-10-10,"Jalan Ciwastra No. 6, Meulaboh, SN 58568",Claims Supervisor,Claims,2021-12-14
116824,"Dr. Balamantri Yuniar, S.H.",1993-08-10,"Jalan PHH. Mustofa No. 91, Medan, PB 79885",CS Manager,Customer Service,2022-04-19
594577,Lala Pradana,1979-02-05,"Gang BKR No. 875, Surabaya, GO 92096",Regional Sales Manager,Sales,2020-08-03
629501,"Ellis Saptono, S.Kom",2005-02-23,"Jl. Jayawijaya No. 267, Binjai, Gorontalo 84245",Claims Analyst,Claims,2025-04-07
155361,Hendri Novitasari,1985-12-05,"Jalan Raya Setiabudhi No. 882, Bitung, Sulawesi Selatan 26146",Sales Executive,Sales,2022-09-04
301492,Dono Habibi,2001-10-17,"Jl. Dipatiukur No. 15, Tanjungbalai, SN 73516",Claims Manager,Claims,2024-01-16
345003,"Dr. Gina Hidayat, S.Psi",1986-01-18,"Jalan HOS. Cokroaminoto No. 647, Semarang, RI 14760",Sales Executive,Sales,2025-03-19
166137,Muni Simanjuntak,2000-02-18,"Gg. Kutisari Selatan No. 71, Surabaya, JI 48999",Finance Supervisor,Finance,2025-03-31
367253,"Adhiarja Wahyuni, S.Gz",1970-07-27,"Gang K.H. Wahid Hasyim No. 924, Cirebon, KI 38481",Claims Supervisor,Claims,2024-01-10
252351,Pia Laksmiwati,1975-09-28,"Gang Setiabudhi No. 3, Manado, Kalimantan Barat 29727",Claims Manager,Claims,2020-07-28
169156,Indah Andriani,1965-01-30,"Jl. Jayawijaya No. 7, Kota Administrasi Jakarta Barat, MA 51062",Sales Manager,Sales,2023-02-17
637255,Mulya Kurniawan,1998-10-17,"Gg. Raya Setiabudhi No. 7, Bandar Lampung, DKI Jakarta 97617",Senior CS Officer,Customer Service,2025-01-19
277533,"Rahman Firmansyah, S.I.Kom",1984-01-07,"Gang Siliwangi No. 8, Banjarbaru, Riau 16053",Claims Supervisor,Claims,2022-07-11
476633,Darijan Laksita,1965-04-12,"Jl. Surapati No. 7, Malang, PA 45613",Finance Supervisor,Finance,2021-06-16
105937,Salsabila Puspasari,1980-12-12,"Jl. Sentot Alibasa No. 4, Serang, Kalimantan Selatan 27499",Claims Manager,Claims,2023-11-02
314791,Asman Saputra,1964-07-27,"Jalan Tebet Barat Dalam No. 572, Banjarmasin, Lampung 85906",Sales Manager,Sales,2024-01-02
59233,Darmaji Suryono,1976-09-13,"Jl. Pelajar Pejuang No. 56, Bima, Sumatera Selatan 63427",Finance Manager,Finance,2020-07-19
166757,Wasis Waluyo,2001-08-08,"Jalan Rawamangun No. 047, Sawahlunto, SS 54496",CS Officer,Customer Service,2021-02-01
91452,drg. Aisyah Kusumo,1984-06-27,"Jalan Ahmad Yani No. 9, Serang, Jambi 91965",CS Manager,Customer Service,2024-12-07
179382,Lasmono Suwarno,1977-11-26,"Jl. Ahmad Dahlan No. 638, Kota Administrasi Jakarta Pusat, Sulawesi Tenggara 38506",Senior CS Officer,Customer Service,2023-12-19
841892,Drs. Maimunah Laksita,1996-09-13,"Gang Ir. H. Djuanda No. 3, Gorontalo, ST 03015",Senior CS Officer,Customer Service,2023-05-03
778720,Martana Halim,1991-10-27,"Gg. Sadang Serang No. 15, Tidore Kepulauan, Riau 26726",Senior CS Officer,Customer Service,2023-10-05
138908,Cakrabirawa Prasetyo,1988-08-24,"Gang Ciwastra No. 4, Mojokerto, KU 63643",Claims Supervisor,Claims,2025-01-28
404661,Cinthia Prasasta,1968-08-12,"Gang PHH. Mustofa No. 0, Bandar Lampung, Riau 20071",CS Manager,Customer Service,2022-02-17
171219,Safina Saragih,2000-06-23,"Gg. HOS. Cokroaminoto No. 997, Malang, Kalimantan Utara 21304",Claims Officer,Claims,2023-03-28
573394,Tira Kusumo,1977-04-04,"Jalan Cempaka No. 316, Pariaman, Sumatera Barat 96206",CS Manager,Customer Service,2021-04-23
529397,Radika Riyanti,1994-08-16,"Gg. Erlangga No. 69, Sukabumi, Kalimantan Tengah 27714",Underwriting Supervisor,Underwriting,2022-06-21
81635,"Alambana Prasetya, S.E.",1969-09-23,"Gang Gedebage Selatan No. 583, Lhokseumawe, SG 86884",CS Manager,Customer Service,2024-05-16
262654,Sutan Wardaya Haryanti,1984-08-25,"Jalan Bangka Raya No. 10, Surabaya, Lampung 69883",Finance Manager,Finance,2025-02-18
656117,Ira Astuti,2004-12-28,"Gg. Cikapayang No. 1, Bogor, KB 91076",Underwriter,Underwriting,2023-04-26
109119,Drs. Ifa Tarihoran,1993-11-20,"Jl. Sukabumi No. 1, Palembang, PA 48358",Sales Executive,Sales,2021-02-25
751782,drg. Luhung Prastuti,1974-02-26,"Jalan Moch. Ramdan No. 5, Bekasi, SN 62976",Claims Manager,Claims,2022-01-22
180508,Cahya Laksmiwati,1995-10-15,"Jalan Bangka Raya No. 40, Salatiga, JT 04466",Senior CS Officer,Customer Service,2024-09-10
591799,Karya Suryatmi,1983-06-13,"Jalan Siliwangi No. 176, Surabaya, JK 59642",Finance Staff,Finance,2023-03-15
793824,"Ella Jailani, S.Kom",1977-04-13,"Jl. Pasir Koja No. 9, Mojokerto, Sulawesi Tengah 52972",Underwriting Supervisor,Underwriting,2025-05-07
